"Add Google website verification meta tag","Pridať metaznačku overenia webu Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Do kódu HTML webových stránok uvedených nižšie bola pridaná metaznačka. Tento krok umožní Googlu overiť vlastníctvo domény na vašich stránkach."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Prepojte svoj účet Magento so službou Merchant Center a spustite import svojich produktových dát cez rozhranie API obchodu. Po prepojení účtov Magento a Merchant Center budú všetky informácie, ktoré aktualizujete v obchode Magento, aktualizované aj v službe Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Začnite kliknutím na tlačidlo %s nižšie. Automaticky sa vygeneruje nový účet s rozhraním API v službe Magento a informácie o vašom obchode a vaše poverenia budú prenesené do služby Merchant Center prostredníctvom bezpečného pripojenia. Ak ešte nemáte účet Merchant Center, vytvorte si nový účet podľa pokynov na registráciu. Poznámka: Ak nevytvoríte prepojenie, vaše informácie API budú po 60 dňoch odstránené."
"Google Shopping","Nákupy Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sNákupy Google%s pomáhajú spoločnostiam dosiahnuť súhru so záujmami zákazníkov, aby mohli reklamami na relevantné produkty osloviť tých správnych ľudí vtedy, keď na tom najviac záleží. Pomocou tohto rozšírenia môžete nahrať svoje údaje o obchode a produktové dáta do služby Google Merchant Center a sprístupniť ich Nákupom Google a iným službám Google. Môžete tak osloviť milióny nových zákazníkov, ktorí vyhľadávajú to, čo predávate."
"Launch","Spustiť"
"Learn More","Ďalšie informácie"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Načítať informácie o obchode"
"Retrieve basic shop information","Načítať základné informácie o obchode"
"Retrieve product information","Načítať informácie o produktoch"
