"Add Google website verification meta tag","Dodaj metaoznako za Googlovo preverjanje spletnih mest"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Kodi HTML spodaj navedenih spletnih mest je bila dodana metaoznaka. Ta korak omogoča Googlu, da preveri lastništvo domen, v katerih so vaša spletna mesta."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Če želite začeti podatke o izdelkih uvažati prek programskega vmesnika za trgovine, povežite svoj račun za Magento s storitvijo Merchant Center. Ko povežete računa za Magento in Merchant Center, se bodo vsi podatki, ki se posodobijo v trgovini Magento, posodobili tudi v storitvi Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Začnite tako, da kliknete možnost »%s« spodaj. Samodejno se bo ustvaril nov račun za programski vmesnik Magento, podatki o trgovini in poverilnice pa bodo po varni povezavi poslani v Merchant Center. Če računa za Merchant Center še nimate, sledite navodilom za registracijo in ustvarite nov račun. Opomba: če ne vzpostavite povezave, bodo podatki v programskem vmesniku izbrisani po 60 dneh."
"Google Shopping","Google Nakupovanje"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Nakupovanje%s pomaga podjetjem, da namene strank izkoristijo tako, da dosežejo prave osebe z ustreznimi oglasi za izdelke, ko je to najbolj pomembno. S to razširitvijo lahko podatke o trgovini in izdelkih naložite v Google Merchant Center, kjer bodo na voljo Google Nakupovanju in drugim Googlovim storitvam. Tako boste lahko dosegli več milijonov novih strank, ki iščejo, kar prodajate."
"Launch","Zaženi"
"Learn More","Več o tem"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Pridobi informacije o trgovinah"
"Retrieve basic shop information","Pridobi osnovne informacije o trgovinah"
"Retrieve product information","Pridobi informacije o izdelkih"
