"Add Google website verification meta tag","Додај Google-ову метаознаку за верификацију веб-сајта"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","HTML датотеци на сајтовима наведеним у наставку смо додали метаознаку. Тај корак омогућава Google-у да верификује власништво домена на вашим сајтовима."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Повежите налог на Magento-у са Центром за продавце да бисте почели да увозите податке о производу преко API-ја продавнице. Када повежете налог на Magento-у са налогом на Центру за продавце, све информације о продавници које ажурирате у Magento продавници ће се ажурирати и у Центру за продавце."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Почните тако што ћете кликнути на „%s“ у наставку. Аутоматски ће се генерисати нови налог за API Magento-а, а информације и акредитиви из продавнице ће се проследити у Центар за продавце преко заштићене везе. Ако немате налог на Центру за продавце, пратите упутства за регистрацију да бисте отворили нови налог. Напомена: Ако не направите линк, информације из API-ја ће бити избрисане после 60 дана."
"Google Shopping","Google куповина"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle куповина%s помаже предузећима да на прави начин искористе снагу намере купаца да одговарајућим људима понуде одговарајуће огласе за производе онда када је то најважније. Помоћу овог додатка отпремите податке о продавници и производу у Google центар за продавце и учините их доступним Google куповини и другим Google услугама, што ће вам омогућити да допрете до милиона нових клијената који траже оно што продајете."
"Launch","Покрени"
"Learn More","Сазнајте више"
"Google Shopping Connect","Google куповина Connect"
"Retrieve shop information","Преузимај информације о продавници"
"Retrieve basic shop information","Преузимај основне информације о продавници"
"Retrieve product information","Преузимај информације о производима"
