"Add Google website verification meta tag","Lägg till metatagg för webbplatsverifiering"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","En metatagg har lagts till i HTML-koden på webbplatserna som anges nedan. Det gör att Google kan verifiera domänens ägare på dina webbplatser."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Anslut Magento-kontot till Merchant Center för att börja importera produktdata via butikens API. När du har länkat ditt Magento- och Merchant Center-konto uppdateras butiksinformationen i Merchant Center när du uppdaterar butiksinformationen i Magento-butiken."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Kom igång genom att klicka på %s nedan. Ett nytt API-konto för Magento genereras automatiskt, och din butiksinformation och dina användaruppgifter skickas till Merchant Center via en säker anslutning. Om du inte redan har ett Merchant Center-konto följer du anvisningarna för att skapa ett nytt konto. Obs! Om du inte skapar en länk raderas API-informationen efter 60 dagar."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s hjälper företag att utnyttja kundernas avsikter för att nå ut med relevanta produktannonser till rätt personer vid rätt tillfälle. Använd det här tillägget för att ladda upp din butiks- och produktdata till Google Merchant Center och göra den tillgänglig för Google Shopping och andra Google-tjänster. Det gör att du kan nå ut till miljontals nya kunder som söker efter det du säljer."
"Launch","Starta"
"Learn More","Läs mer"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Hämta butiksinformation"
"Retrieve basic shop information","Hämta grundläggande butiksinformation"
"Retrieve product information","Hämta produktinformation"
