"Add Google website verification meta tag","Ongeza metatagi ya Google ya uthibitishaji wa tovuti"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Metatagi imeongezwa kwenye HTML ya tovuti zilizoorodheshwa hapa chini. Hatua hii inawezesha Google kuthibitisha umiliki wa vikoa katika tovuti zako."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Unganisha akaunti yako ya Magento kwenye Google Merchant Center ili uanze kuingiza data yako ya bidhaa kupitia API ya duka. Baada ya kuunganisha akaunti zako za Magento na Google Merchant Center, maelezo yoyote ya duka yanayosasishwa katika duka lako la Magento yatasasishwa pia katika Google Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Anza kwa kubofya "%s" hapa chini. Akaunti mpya ya API ya Magento itafunguliwa kiotomatiki na maelezo ya duka pamoja na kitambulisho chako cha duka zitawasilishwa kwenye Google Merchant Center kupitia muunganisho salama. Ikiwa bado huna akaunti ya Google Merchant Center, fuata maelekezo ya kujisajili ili ufungue akaunti mpya. Kumbuka: Ikiwa kiungo hakijawekwa, maelezo ya API yako yatafutwa baada ya siku 60."
"Google Shopping","Ununuzi kwenye Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sUnunuzi kwenye Google%s husaidia biashara kunufaika na uwezo wa dhamira ya wateja ili kufikia watu mwafaka kupitia matangazo ya bidhaa muhimu wakati mwafaka zaidi. Tumia kiendelezi hiki ili kupakia data ya duka na bidhaa yako kwenye Google Merchant Center na kuiwezesha kupatikana katika Ununuzi kwenye Google na huduma nyingine za Google, ili kukuwezesha kufikia mamilioni ya wateja wapya wanaotafuta bidhaa unazouza."
"Launch","Zindua"
"Learn More","Pata maelezo Zaidi"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Rejesha maelezo ya duka"
"Retrieve basic shop information","Rejesha maelezo msingi ya duka"
"Retrieve product information","Rejesha maelezo ya bidhaa"
