"Add Google website verification meta tag","添加 Google 网站验证元标记"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","元标记已添加至下面所列网站的 HTML。此步骤可让 Google 验证您网站的域所有权。"
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","将您的 Magento 帐户与 Merchant Center 相关联，即可开始通过商店的 API 导入商品数据。将 Magento 帐户和 Merchant Center 帐户相关联后，任何在 Magento 商店中更新的商店信息都将同步到 Merchant Center 中。"
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","点击下方的“%s”开始操作。系统会自动生成新的 Magento API 帐户，并会通过安全连接将您的商店信息和凭据提交至 Merchant Center。如果您还没有 Merchant Center 帐户，请按照注册提示创建一个新帐户。注意：如果您未创建关联，系统会在 60 天后删除您的 API 信息。"
"Google Shopping","Google 购物"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle 购物%s可帮助商家充分了解客户意愿，在关键时刻向合适的人群展示相关商品的广告。使用此扩展程序向 Google Merchant Center 上传商店和商品数据，并将这些数据用于 Google 购物和其他 Google 服务，以便吸引数百万搜索您所售商品的新客户。"
"Launch","启动"
"Learn More","了解详情"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","读取商店信息"
"Retrieve basic shop information","读取基本商店信息"
"Retrieve product information","读取商品信息"
