"Add Google website verification meta tag","加入 Google 網站驗證中繼標籤"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","下列網站的 HTML 已加入中繼標籤，方便 Google 驗證您網站的網域擁有權。"
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","只要將您的 Magento 帳戶連結 Merchant Center 帳戶，就可以開始透過商家 API 匯入產品資料。將 Magento 和 Merchant Center 的帳戶相連結之後，在 Magento 商家中更新的任何商家資訊也都會反映在 Merchant Center 中。"
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","點選下方的 [%s] 即可開始使用。系統會自動產生一個新的 Magento API 帳戶，並且透過安全連線將您的商家資訊和憑證傳送至 Merchant Center。如果您還沒有 Merchant Center 帳戶，請按照畫面上顯示的註冊提示建立新帳戶。提醒您，如果不建立連結，系統將在 60 天過後刪除您的 API 資訊。"
"Google Shopping","Google 購物"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle 購物%s能幫助企業運用顧客意向的力量，在關鍵時刻利用相關的產品廣告觸及合適的顧客。這個擴充功能可以幫您把商家和產品資料上傳至 Google Merchant Center，然後顯示在 Google 購物及其他 Google 服務中，方便您觸及正在搜尋您所販售商品的數百萬名新客戶。"
"Launch","開啟"
"Learn More","瞭解詳情"
"Google Shopping Connect","Google 購物連結"
"Retrieve shop information","擷取商店資訊"
"Retrieve basic shop information","擷取商店基本資訊"
"Retrieve product information","擷取產品資訊"
