category_id;url_path;id_path;nombre_ingles;nombre_espanol;descripcion_ingles;descripcion_espanol;sortby
2;/elite;1/2;Elite;Elite;;;name,price,created_at
1002;women;1/2/1002;WOMEN;WOMEN;"DESCRIPCION INGLES";"DESCRIPCION INGLES";name,price,created_at
1003;women/clothing;1/2/1002/1003;CLOTHING;CLOTHING;"Shop our handpicked fashion edit, an eclectic selection of women’s clothing, shoes, bags and accessories from some of the world’s top established designers and luxury fashion houses, and emerging talents we fell head over heels for.
 
Our team of buyers travelled to the world’s “big four” fashion capitals and beyond, and visited the most exclusive showrooms, as well as numerous up and coming studios and ateliers, in order to see & touch hundreds of collections and carefully, one by one, select the pieces for the new season.   

The new fashion edit is created with our stylish customers in mind, who more than hype and names, value the authenticity, quality and exclusivity of the selections we’ve been bringing them season after season for nearly 30 years. 

Indulge in our meticulously curated edit, featuring some of world’s most covetable lookbooks and runways, as well as new, easy-to-fell-in-love-with brands we’ve discovered during our many fashion journeys.";"Shop our handpicked fashion edit, an eclectic selection of women’s clothing, shoes, bags and accessories from some of the world’s top established designers and luxury fashion houses, and emerging talents we fell head over heels for.
 
Our team of buyers travelled to the world’s “big four” fashion capitals and beyond, and visited the most exclusive showrooms, as well as numerous up and coming studios and ateliers, in order to see & touch hundreds of collections and carefully, one by one, select the pieces for the new season.   

The new fashion edit is created with our stylish customers in mind, who more than hype and names, value the authenticity, quality and exclusivity of the selections we’ve been bringing them season after season for nearly 30 years. 

Indulge in our meticulously curated edit, featuring some of world’s most covetable lookbooks and runways, as well as new, easy-to-fell-in-love-with brands we’ve discovered during our many fashion journeys.";name,price,created_at
1004;women/clothing/bottoms;1/2/1002/1003/1004;BOTTOMS;BOTTOMS;;;name,price,created_at
1005;women/clothing/bottoms/jeans;1/2/1002/1003/1004/1005;JEANS;JEANS;;;name,price,created_at
1006;women/clothing/bottoms/joggers;1/2/1002/1003/1004/1006;JOGGERS;JOGGERS;;;name,price,created_at
1007;women/clothing/bottoms/leggings;1/2/1002/1003/1004/1007;LEGGINGS;LEGGINGS;;;name,price,created_at
1008;women/clothing/bottoms/pants;1/2/1002/1003/1004/1008;PANTS;PANTS;;;name,price,created_at
1009;women/clothing/bottoms/shorts;1/2/1002/1003/1004/1009;SHORTS;SHORTS;;;name,price,created_at
1010;women/clothing/bottoms/skirts;1/2/1002/1003/1004/1010;SKIRTS;SKIRTS;;;name,price,created_at
1011;women/clothing/dresses;1/2/1002/1003/1011;DRESSES;DRESSES;;;name,price,created_at
1012;women/clothing/jumpsuits;1/2/1002/1003/1012;JUMPSUITS;JUMPSUITS;;;name,price,created_at
1013;women/clothing/outerwear;1/2/1002/1003/1013;OUTERWEAR;OUTERWEAR;;;name,price,created_at
1014;women/clothing/outerwear/blazers;1/2/1002/1003/1013/1014;BLAZERS;BLAZERS;;;name,price,created_at
1015;women/clothing/outerwear/capes;1/2/1002/1003/1013/1015;CAPES;CAPES;;;name,price,created_at
1016;women/clothing/outerwear/coats;1/2/1002/1003/1013/1016;COATS;COATS;;;name,price,created_at
1017;women/clothing/outerwear/down;1/2/1002/1003/1013/1017;"DOWN JACKETS";"DOWN JACKETS";;;name,price,created_at
1018;women/clothing/outerwear/leather-fur;1/2/1002/1003/1013/1018;"LEATHER & FUR";"LEATHER & FUR";;;name,price,created_at
1019;women/clothing/outerwear/jackets;1/2/1002/1003/1013/1019;JACKETS;JACKETS;;;name,price,created_at
