category_id;path;nombre_ingles;nombre_espanol;descripcion_ingles;descripcion_espanol
2;/default-category;Elite;Elite;;
1002;women;WOMEN;MUJER;"DESCRIPCION INGLES";"VERSION ESPAÑOLO"
1003;women/clothing;CLOTHING;ROPA;"Shop our handpicked fashion edit, an eclectic selection of women’s clothing, shoes, bags and accessories from some of the world’s top established designers and luxury fashion houses, and emerging talents we fell head over heels for.
 
Our team of buyers travelled to the world’s “big four” fashion capitals and beyond, and visited the most exclusive showrooms, as well as numerous up and coming studios and ateliers, in order to see & touch hundreds of collections and carefully, one by one, select the pieces for the new season.   

The new fashion edit is created with our stylish customers in mind, who more than hype and names, value the authenticity, quality and exclusivity of the selections we’ve been bringing them season after season for nearly 30 years. 

Indulge in our meticulously curated edit, featuring some of world’s most covetable lookbooks and runways, as well as new, easy-to-fell-in-love-with brands we’ve discovered during our many fashion journeys.";"Shop our handpicked fashion edit, an eclectic selection of women’s clothing, shoes, bags and accessories from some of the world’s top established designers and luxury fashion houses, and emerging talents we fell head over heels for.
 
Our team of buyers travelled to the world’s “big four” fashion capitals and beyond, and visited the most exclusive showrooms, as well as numerous up and coming studios and ateliers, in order to see & touch hundreds of collections and carefully, one by one, select the pieces for the new season.   

The new fashion edit is created with our stylish customers in mind, who more than hype and names, value the authenticity, quality and exclusivity of the selections we’ve been bringing them season after season for nearly 30 years. 

Indulge in our meticulously curated edit, featuring some of world’s most covetable lookbooks and runways, as well as new, easy-to-fell-in-love-with brands we’ve discovered during our many fashion journeys."
1004;women/clothing/bottoms;BOTTOMS;"PARTES DE ABAJO";;
1005;women/clothing/bottoms/jeans;JEANS;JEANS;;
1006;women/clothing/bottoms/joggers;JOGGERS;JOGGERS;;
1007;women/clothing/bottoms/leggings;LEGGINGS;LEGGINGS;;
1008;women/clothing/bottoms/pants;PANTS;PANTALONES;;
1009;women/clothing/bottoms/shorts;SHORTS;SHORTS;;
1010;women/clothing/bottoms/skirts;SKIRTS;FALDAS;;
1011;women/clothing/dresses;DRESSES;VESTIDOS;;
1012;women/clothing/jumpsuits;JUMPSUITS;MONOS;;
1013;women/clothing/outerwear;OUTERWEAR;"PRENDAS DE ABRIGO";;
1014;women/clothing/outerwear/blazers;BLAZERS;BLAZERS;;
1015;women/clothing/outerwear/capes;CAPES;CAPAS;;
1016;women/clothing/outerwear/coats;COATS;ABRIGOS;;
1017;women/clothing/outerwear/down;"DOWN JACKETS";PLUMAS;;
1018;women/clothing/outerwear/leather-fur;"LEATHER & FUR";"CUERO Y PIELES";;
1019;women/clothing/outerwear/jackets;JACKETS;CHAQUETAS;;
1020;women/clothing/outerwear/vests;VESTS;CHALECOS;;
1021;women/clothing/swimwear;SWIMWEAR;"ROPA DE BAÑO";;
1022;women/clothing/tops;TOPS;"PARTES DE ARRIBA";;
1023;women/clothing/tops/blouses-shirts;"BLOUSES & SHIRTS";"BLUSAS Y CAMISAS";;
1024;women/clothing/tops/knitwear;KNITWEAR;PUNTO;;
1025;women/clothing/tops/sweatshirts-hoodies;"SWEATSHIRTS & HOODIES";"SUDADERAS Y CAPUCHAS";;
1026;women/clothing/tops/t-shirts-tanks;"T-SHIRTS & TANKS";CAMISETAS;;
1027;women/shoes;SHOES;ZAPATOS;;
1028;women/shoes/booties-boots;"BOOTIES & BOOTS";"BOTINES Y BOTAS";;
1029;women/shoes/flats;FLATS;PLANAS;;
1030;women/shoes/flats/ballerinas;BALLERINAS;BAILARINAS;;
1031;women/shoes/flats/lace-ups;LACE-UPS;"CON CORDONES";;
1032;women/shoes/flats/mocassins-loafers;"MOCASSINS & LOAFERS";MOCASINES;;
1033;women/shoes/pumps;PUMPS;TACONES;;
1034;women/shoes/sandals-mules;"SANDALS & MULES";SANDALIAS;;
1035;women/shoes/sneakers;SNEAKERS;ZAPATILLAS;;
1036;women/shoes/sneakers/high-tops;"HIGH TOPS";"ZAPATILLAS DE BOTA";;
1037;women/shoes/sneakers/low-tops;"LOW TOPS";"ZAPATILLAS BAJAS";;
1038;women/shoes/sneakers/slip-ons;SLIP-ONS;"SIN CORDONES";;
1039;women/bags;BAGS;BOLSAS;;
1040;women/bags/backpacks;BACKPACKS;MOCHILAS;;
1041;women/bags/clutches;CLUTCHES;"BOLSOS CLUTCH";;
1042;women/bags/shoulder-crossbody;"SHOULDER & CROSSBODY";BANDOLERAS;;
1043;women/bags/top-handle;"TOP HANDLE";"BOLSOS ASA SUPERIOR";;
1044;women/bags/totes-shoppers;"TOTES & SHOPPERS";"BOLSAS DE TELA";;
1045;women/bags/wallets-bag-accessories;"WALLETS & BAG ACCESSORIES";"CARTERAS Y ACCESORIOS";;
1046;women/accessories;ACCESSORIES;ACCESORIOS;;
1047;women/accessories/fashion-accessories;"FASHION ACCESSORIES";"ACCESORIOS DE MODA";;
1048;women/accessories/fashion-accessories/belts;BELTS;CINTURONES;;
1049;women/accessories/fashion-accessories/hair-accessories;"HAIR ACCESSORIES";"ACCESORIOS CABELLO";;
1050;women/accessories/fashion-accessories/hats;HATS;"SOMBREROS Y GORRAS";;
1051;women/accessories/fashion-accessories/jewelry;JEWELRY;BISUTERÍA;;
1052;women/accessories/fashion-accessories/jewelry/bracelets;BRACELETS;BRAZALETES;;
1053;women/accessories/fashion-accessories/jewelry/brooches;BROOCHES;BROCHES;;
1054;women/accessories/fashion-accessories/jewelry/earrings;EARRINGS;PENDIENTES;;
1055;women/accessories/fashion-accessories/jewelry/necklaces;NECKLACES;COLLARES;;
1056;women/accessories/fashion-accessories/jewelry/rings;RINGS;ANILLOS;;
1057;women/accessories/fashion-accessories/keyrings;KEYRINGS;LLAVEROS;;
1058;women/accessories/fashion-accessories/scarves;SCARVES;BUFANDAS;;
1059;women/accessories/fashion-accessories/sunglasses;SUNGLASSES;GAFAS;;
1060;women/accessories/fashion-accessories/watches;WATCHES;RELOJES;;
1061;women/accessories/home-gifts;"HOME & GIFTS";"CASA Y REGALOS";;
1062;women/accessories/home-gifts/books;BOOKS;LIBROS;;
1063;women/accessories/home-gifts/homeware;HOMEWARE;"ACCESORIOS DE CASA";;
1064;women/accessories/home-gifts/sex-toys;"SEX TOYS";"JUGUETES ERÓTICOS";;
1065;women/accessories/home-gifts/shoehorns;SHOEHORNS;CALZADORES;;
1066;women/accessories/home-gifts/umbrellas;UMBRELLAS;PARAGUAS;;
1067;women/accessories/niche-perfumes;"NICHE PERFUMES";"PERFUMES SELECTOS";;
1068;women/accessories/technology;TECHNOLOGY;TECNOLOGÍA;;
1069;women/accessories/technology/gadgets;GADGETS;GADGETS;;
1070;women/accessories/technology/iphone-cases;"IPHONE CASES";"FUNDAS IPHONE";;
1071;women/accessories/technology/ipad-cases;"IPAD CASES";"FUNDAS IPAD";;
1072;men;MEN;HOMBRE;;
1073;men/clothing;CLOTHING;ROPA;;
1074;men/clothing/bottoms;BOTTOMS;"PARTES DE ABAJO";;
1075;men/clothing/bottoms/jeans;JEANS;JEANS;;
1076;men/clothing/bottoms/joggers;JOGGERS;JOGGERS;;
1077;men/clothing/bottoms/pants;PANTS;PANTALONES;;
1078;men/clothing/bottoms/shorts;SHORTS;"PANTALONES CORTOS";;
1079;men/clothing/outerwear;OUTERWEAR;"ROPA DE ABRIGO";;
1080;men/clothing/outerwear/blazers-jackets;"BLAZERS & JACKETS";"CHAQUETAS Y BLAZERS";;
1081;men/clothing/outerwear/coats;COATS;ABRIGOS;;
1082;men/clothing/outerwear/down-jackets;"DOWN JACKETS";PLUMAS;;
1083;men/clothing/outerwear/vests;VESTS;CHALECOS;;
1084;men/clothing/suits;SUITS;TRAJES;;
1085;men/clothing/swimwear;SWIMWEAR;BAÑADORES;;
1086;men/clothing/tops;TOPS;"PARTES DE ARRIBA";;
1087;men/clothing/tops/knitwear;KNITWEAR;PUNTO;;
1088;men/clothing/tops/polos-t-shits;"POLOS & T-SHITS";"POLOS Y CAMISETAS";;
1089;men/clothing/tops/shirts;SHIRTS;CAMISAS;;
1090;men/clothing/tops/sweatshirts-hoodies;"SWEATSHIRTS & HOODIES";"SUDADERAS Y CAPUCHAS";;
1091;men/clothing/underwear;UNDERWEAR;"ROPA INTERIOR";;
1092;men/shoes;SHOES;ZAPATOS;;
1093;men/shoes/boots;BOOTS;BOTAS;;
1094;men/shoes/lace-ups;LACE-UPS;"CON CORDONES";;
1095;men/shoes/loafers-car-shoes;"LOAFERS & CAR SHOES";MOCASINES;;
1096;men/shoes/sandals;SANDALS;SANDALIAS;;
1097;men/shoes/sneakers;SNEAKERS;ZAPATILLAS;;
1098;men/shoes/sneakers/high-tops;"HIGH TOPS";"ZAPATILLAS ALTAS";;
1099;men/shoes/sneakers/low-tops;"LOW TOPS";"ZAPATILLAS BAJAS";;
1100;men/shoes/sneakers/slip-ons;SLIP-ONS;"SIN CORDONES";;
1101;men/bags;BAGS;BOLSOS;;
1102;men/bags/backpacks;BACKPACKS;MOCHILAS;;
1103;men/bags/office;OFFICE;MALETINES;;
1104;men/bags/pouches;POUCHES;CARTUCHERAS;;
1105;men/bags/shoulder-crossbody;"SHOULDER & CROSSBODY";BANDOLERAS;;
1106;men/bags/totes-shoppers;"TOTES & SHOPPERS";"BOLSAS DE TELA";;
1107;men/bags/travel-gym;"TRAVEL & GYM";"VIAJE Y GIMNASIO";;
1108;men/bags/wallets-bag-accessories;"WALLETS & BAG ACCESSORIES";"CARTERAS Y ACCESORIOS";;
1109;men/accessories;ACCESSORIES;ACCESORIOS;;
1110;men/accessories/fashion-accessories;"FASHION ACCESSORIES";"ACCESORIOS DE MODA";" ";
1111;men/accessories/fashion-accessories/belts;BELTS;CINTURONES;;
1112;men/accessories/fashion-accessories/gloves;GLOVES;GUANTES;;
1113;men/accessories/fashion-accessories/hats;HATS;"SOMBREROS Y GORRAS";;
1114;men/accessories/fashion-accessories/jewelry;JEWELRY;BISUTERÍA;;
1115;men/accessories/fashion-accessories/jewelry/bracelets;BRACELETS;BRAZALETES;;
1116;men/accessories/fashion-accessories/jewelry/brooches;BROOCHES;BROCHES;;
1117;men/accessories/fashion-accessories/jewelry/cufflinks;CUFFLINKS;GEMELOS;;
1118;men/accessories/fashion-accessories/jewelry/earrings;EARRINGS;PENDIENTES;;
1119;men/accessories/fashion-accessories/jewelry/necklaces;NECKLACES;COLLARES;;
1120;men/accessories/fashion-accessories/jewelry/rings;RINGS;ANILLOS;;
1121;men/accessories/fashion-accessories/keyrings-charms;"KEYRINGS & CHARMS";LLAVEROS;;
1122;men/accessories/fashion-accessories/scarves;SCARVES;BUFANDAS;;
1123;men/accessories/fashion-accessories/socks;SOCKS;CALCETINES;;
1124;men/accessories/fashion-accessories/sunglasses;SUNGLASSES;GAFAS;;
1125;men/accessories/fashion-accessories/ties;TIES;CORBATAS;;
1126;men/accessories/fashion-accessories/watches;WATCHES;RELOJES;;
1127;men/accessories/home-gifts;"HOME & GIFTS";"CASA Y REGALOS";;
1128;men/accessories/home-gifts/books;BOOKS;LIBROS;;
1129;men/accessories/home-gifts/homeware;HOMEWARE;"ACCESORIOS DE CASA";;
1130;men/accessories/home-gifts/sex-toys;"SEX TOYS";"JUGUETES ERÓTICOS";;
1131;men/accessories/home-gifts/shoehorns;SHOEHORNS;CALZADORES;;
1132;men/accessories/home-gifts/skateboards;SKATEBOARDS;SKATEBOARDS;;
1133;men/accessories/home-gifts/umbrellas;UMBRELLAS;PARAGUAS;;
1134;men/accessories/niche-perfumes;"NICHE PERFUMES";"PERFUMES SELECTOS";;
1135;men/accessories/technology;TECHNOLOGY;TECNOLOGÍA;;
1136;men/accessories/technology/gadgets;GADGETS;GADGETS;;
1137;men/accessories/technology/iphone-cases;"IPHONE CASES";"FUNDAS DE IPHONE";;
1138;men/accessories/technology/ipad-cases;"IPAD CASES";"FUNDAS DE IPAD";;
1139;kids;KIDS;NIÑOS;;
1140;kids/clothing;CLOTHING;ROPA;;
1141;kids/clothing/bottoms;BOTTOMS;"PARTES DE ABAJO";;
1142;kids/clothing/outerwear;OUTERWEAR;"ROPA DE ABRIGO";;
1143;kids/clothing/outerwear/coats;COATS;ABRIGOS;;
1144;kids/clothing/outerwear/jackets;JACKETS;CHAQUETAS;;
1145;kids/clothing/outerwear/vests;VESTS;CHALECOS;;
1146;kids/clothing/overalls-sets;"OVERALLS & SETS";"MONOS Y CONJUNTOS";;
1147;kids/clothing/tops;TOPS;"PARTES DE ARRIBA";;
1148;kids/shoes;SHOES;ZAPATOS;;
1149;kids/accessories;ACCESSORIES;ACCESORIOS;;
1150;sale;SALE;REBAJAS;;
1221;sale/men;MEN;HOMBRE;;
1222;sale/men/clothing;CLOTHING;ROPA;;
1223;sale/men/clothing/bottoms;BOTTOMS;"PARTES DE ABAJO";;
1224;sale/men/clothing/bottoms/jeans;JEANS;JEANS;;
1225;sale/men/clothing/bottoms/joggers;JOGGERS;JOGGERS;;
1226;sale/men/clothing/bottoms/pants;PANTS;PANTALONES;;
1227;sale/men/clothing/bottoms/shorts;SHORTS;"PANTALONES CORTOS";;
1228;sale/men/clothing/outerwear;OUTERWEAR;"ROPA DE ABRIGO";;
1229;sale/men/clothing/outerwear/blazers-jackets;"BLAZERS & JACKETS";"CHAQUETAS Y BLAZERS";;
1230;sale/men/clothing/outerwear/coats;COATS;ABRIGOS;;
1231;sale/men/clothing/outerwear/down-jackets;"DOWN JACKETS";PLUMAS;;
1232;sale/men/clothing/outerwear/vests;VESTS;CHALECOS;;
1233;sale/men/clothing/suits;SUITS;TRAJES;;
1234;sale/men/clothing/swimwear;SWIMWEAR;"ROPA DE BAÑO";;
1235;sale/men/clothing/tops;TOPS;"PARTES DE ARRIBA";;
1236;sale/men/clothing/knitwear;KNITWEAR;PUNTO;;
1237;sale/men/clothing/knitwear/polos-t-shits;"POLOS & T-SHITS";"POLOS Y CAMISETAS";;
1238;sale/men/clothing/knitwear/shirts;SHIRTS;CAMISAS;;
1239;sale/men/clothing/knitwear/sweatshirts-hoodies;"SWEATSHIRTS & HOODIES";"SUDADERAS Y CAPUCHAS";;
1240;sale/men/clothing/underwear;UNDERWEAR;"ROPA INTERIOR";;
1241;sale/men/shoes;SHOES;ZAPATOS;;
1242;sale/men/shoes/boots;BOOTS;BOTAS;;
1243;sale/men/shoes/lace-ups;LACE-UPS;"CON CORDONES";;
1244;sale/men/shoes/loafers-car-shoes;"LOAFERS & CAR SHOES";MOCASINES;;
1245;sale/men/shoes/sandals;SANDALS;SANDALIAS;;
1246;sale/men/shoes/sneakers;SNEAKERS;ZAPATILLAS;;
1247;sale/men/shoes/sneakers/high-tops;"HIGH TOPS";"ZAPATILLAS DE BOTA";;
1248;sale/men/shoes/sneakers/low-tops;"LOW TOPS";"ZAPATILLAS BAJAS";;
1249;sale/men/shoes/sneakers/slip-ons;SLIP-ONS;"SIN CORDONES";;
1250;sale/men/bags;BAGS;BOLSOS;;
1251;sale/men/bags/backpacks;BACKPACKS;MOCHILAS;;
1252;sale/men/bags/office;OFFICE;MALETINES;;
1253;sale/men/bags/pouches;POUCHES;CARTUCHERAS;;
1254;sale/men/bags/shoulder-crossbody;"SHOULDER & CROSSBODY";BANDOLERAS;;
1255;sale/men/bags/totes-shoppers;"TOTES & SHOPPERS";"BOLSAS DE TELA";;
1256;sale/men/bags/travel-gym;"TRAVEL & GYM";"VIAJE Y GIMNASIO";;
1257;sale/men/bags/wallets-bag-accessories;"WALLETS & BAG ACCESSORIES";"CARTERAS Y ACCESORIOS";;
1258;sale/men/accessories;ACCESSORIES;ACCESORIOS;;
1259;sale/men/accessories/fashion-accessories;"FASHION ACCESSORIES";"ACCESORIOS DE MODA";;
1260;sale/men/accessories/fashion-accessories/belts;BELTS;CINTURONES;;
1261;sale/men/accessories/fashion-accessories/gloves;GLOVES;GUANTES;;
1262;sale/men/accessories/fashion-accessories/hats;HATS;"SOMBREROS Y GORRAS";;
1263;sale/men/accessories/fashion-accessories/jewelry;JEWELRY;BISUTERÍA;;
1264;sale/men/accessories/fashion-accessories/jewelry/bracelets;BRACELETS;BRAZALETES;;
1265;sale/men/accessories/fashion-accessories/jewelry/brooches;BROOCHES;BROCHES;;
1266;sale/men/accessories/fashion-accessories/jewelry/cufflinks;CUFFLINKS;GEMELOS;;
1267;sale/men/accessories/fashion-accessories/jewelry/earrings;EARRINGS;PENDIENTES;;
1268;sale/men/accessories/fashion-accessories/jewelry/necklaces;NECKLACES;COLLARES;;
1269;sale/men/accessories/fashion-accessories/jewelry/rings;RINGS;ANILLOS;;
1270;sale/men/accessories/fashion-accessories/keyrings-charms;"KEYRINGS & CHARMS";LLAVEROS;;
1271;sale/men/accessories/fashion-accessories/scarves;SCARVES;BUFANDAS;;
1272;sale/men/accessories/fashion-accessories/socks;SOCKS;CALCETINES;;
1273;sale/men/accessories/fashion-accessories/sunglasses;SUNGLASSES;GAFAS;;
1274;sale/men/accessories/fashion-accessories/ties;TIES;CORBATAS;;
1275;sale/men/accessories/fashion-accessories/watches;WATCHES;RELOJES;;
1276;sale/men/accessories/home-gifts;"HOME & GIFTS";"CASA Y REGALOS";;
1277;sale/men/accessories/home-gifts/books;BOOKS;LIBROS;;
1278;sale/men/accessories/home-gifts/homeware;HOMEWARE;"ACCESORIOS DE CASA";;
1279;sale/men/accessories/home-gifts/sex-toys;"SEX TOYS";"JUGUETES ERÓTICOS";;
1280;sale/men/accessories/home-gifts/shoehorns;SHOEHORNS;CALZADORES;;
1281;sale/men/accessories/home-gifts/skateboards;SKATEBOARDS;SKATEBOARDS;;
1282;sale/men/accessories/home-gifts/umbrellas;UMBRELLAS;PARAGUAS;;
1283;sale/men/accessories/niche-perfumes;"NICHE PERFUMES";"PERFUMES SELECTOS";;
1284;sale/men/accessories/technology;TECHNOLOGY;TECNOLOGÍA;;
1285;sale/men/accessories/technology/gadgets;GADGETS;GADGETS;;
1286;sale/men/accessories/technology/iphone-cases;"IPHONE CASES";"FUNDAS DE IPHONE";;
1287;sale/men/accessories/technology/ipad-cases;"IPAD CASES";"FUNDAS DE IPAD";;
1288;sale/kids;KIDS;NIÑOS;;
1289;sale/kids/clothing;CLOTHING;ROPA;;
1290;sale/kids/clothing/bottoms;BOTTOMS;"PARTES DE ABAJO";;
1291;sale/kids/clothing/outerwear;OUTERWEAR;"ROPA DE ABRIGO";;
1292;sale/kids/clothing/outerwear/coats;COATS;ABRIGOS;;
1293;sale/kids/clothing/outerwear/jackets;JACKETS;CHAQUETAS;;
1294;sale/kids/clothing/outerwear/vests;VESTS;CHALECOS;;
1295;sale/kids/clothing/overalls-sets;"OVERALLS & SETS";"MONOS Y CONJUNTOS";;
1296;sale/kids/clothing/tops;TOPS;"PARTES DE ARRIBA";;
1297;sale/kids/accessories;ACCESSORIES;ACCESORIOS;;
1298;outlet;OUTLET;OUTLET;;
1299;outlet/women;WOMEN;MUJER;;
1300;outlet/women/clothing;CLOTHING;ROPA;;
1301;outlet/women/clothing/bottoms;BOTTOMS;"PARTES DE ABAJO";;
1302;outlet/women/clothing/bottoms/jeans;JEANS;JEANS;;
1303;outlet/women/clothing/bottoms/joggers;JOGGERS;JOGGERS;;
1304;outlet/women/clothing/bottoms/leggings;LEGGINGS;LEGGINGS;;
1305;outlet/women/clothing/bottoms/pants;PANTS;PANTALONES;;
1306;outlet/women/clothing/bottoms/shorts;SHORTS;SHORTS;;
1307;outlet/women/clothing/bottoms/skirts;SKIRTS;FALDAS;;
1308;outlet/women/clothing/dresses;DRESSES;VESTIDOS;;
1309;outlet/women/clothing/jumpsuits;JUMPSUITS;MONOS;;
1310;outlet/women/clothing/outerwear;OUTERWEAR;"ROPA DE ABRIGO";;
1311;outlet/women/clothing/outerwear/blazers;BLAZERS;BLAZERS;;
1312;outlet/women/clothing/outerwear/capes;CAPES;CAPAS;;
1313;outlet/women/clothing/outerwear/coats;COATS;ABRIGOS;;
1314;outlet/women/clothing/outerwear/down;"DOWN JACKETS";PLUMAS;;
1315;outlet/women/clothing/outerwear/leather-fur;"LEATHER & FUR";"CUERO Y PIELES";;
1316;outlet/women/clothing/outerwear/jackets;JACKETS;CHAQUETAS;;
1317;outlet/women/clothing/outerwear/vests;VESTS;CHALECOS;;
1318;outlet/women/clothing/swimwear;SWIMWEAR;"ROPA DE BAÑO";;
1319;outlet/women/clothing/tops;TOPS;"PARTES DE ARRIBA";;
1320;outlet/women/clothing/tops/blouses-shirts;"BLOUSES & SHIRTS";"BLUSAS Y CAMISAS";;
1321;outlet/women/clothing/tops/knitwear;KNITWEAR;PUNTO;;
1322;outlet/women/clothing/tops/sweatshirts-hoodies;"SWEATSHIRTS & HOODIES";"SUDADERAS Y CAPUCHAS";;
1323;outlet/women/clothing/tops/t-shirts-tanks;"T-SHIRTS & TANKS";CAMISETAS;;
1324;outlet/women/shoes;SHOES;ZAPATOS;;
1325;outlet/women/shoes/booties-boots;"BOOTIES & BOOTS";"BOTINES Y BOTAS";;
1326;outlet/women/shoes/flats;FLATS;PLANAS;;
1327;outlet/women/shoes/flats/ballerinas;BALLERINAS;BAILARINAS;;
1328;outlet/women/shoes/flats/lace-ups;LACE-UPS;"CON CORDONES";;
1329;outlet/women/shoes/flats/mocassins-loafers;"MOCASSINS & LOAFERS";MOCASINES;;
1330;outlet/women/shoes/pumps;PUMPS;TACONES;;
1331;outlet/women/shoes/sandals-mules;"SANDALS & MULES";SANDALIAS;;
1332;outlet/women/shoes/sneakers;SNEAKERS;ZAPATILLAS;;
1333;outlet/women/shoes/sneakers/high-tops;"HIGH TOPS";"ZAPATILLAS ALTAS";;
1334;outlet/women/shoes/sneakers/low-tops;"LOW TOPS";"ZAPATILLAS BAJAS";;
1335;outlet/women/shoes/sneakers/slip-ons;SLIP-ONS;"SIN CORDONES";;
1336;outlet/women/bags;BAGS;BOLSAS;;
1337;outlet/women/bags/backpacks;BACKPACKS;MOCHILAS;;
1338;outlet/women/bags/clutches;CLUTCHES;"BOLSOS CLUTCH";;
1339;outlet/women/bags/shoulder-crossbody;"SHOULDER & CROSSBODY";BANDOLERAS;;
1340;outlet/women/bags/top-handle;"TOP HANDLE";"BOLSOS ASA SUPERIOR";;
1341;outlet/women/bags/totes-shoppers;"TOTES & SHOPPERS";"BOLSAS DE TELA";;
1342;outlet/women/bags/wallets-bag-accessories;"WALLETS & BAG ACCESSORIES";"CARTERAS Y ACCESORIOS";;
1343;outlet/women/accessories;ACCESSORIES;ACCESORIOS;;
1344;outlet/women/accessories/fashion-accessories;"FASHION ACCESSORIES";"ACCESORIOS DE MODA";;
1345;outlet/women/accessories/fashion-accessories/belts;BELTS;CINTURONES;;
